,responsibility
1086,"Demonstrate sound ethical judgment regarding personal behavior, conduct, and business practices"
1087,Other job-related duties as required
1088,Develop and implement digital marketing strategies across various channels
1089,Plan and develop communication strategies through various media channels
1090,"Create engaging content for social media platforms, blogs, and other digital channels"
1091,"Plan and execute SEO strategies to improve website visibility, rankings, and traffic"
1092,Manage and optimize paid search campaigns
1093,Collaborate with cross-functional teams to ensure campaigns are aligned with business goals
1094,Perform ad hoc duties
1095,Provide administrative support to Senior Managers and Market employees
1096,Assist in managing internal & external business engagements
1097,"Handle travel arrangements, record maintenance, and other administrative tasks"
1098,"Coordinate executive level manager appointments, meetings, events, and conference calls"
1099,Prepare and review materials and correspondence for meetings
1100,"Maintain visitor log and coordinate employee onboarding, seat allocation, rearrangement, and exit formalities"
1101,"Assist with creation/modification of presentations, spreadsheets, and other various documents"
1102,Coordinate travel arrangements and prepare schedules/agendas
1103,"Assist in continuity of business planning, recording, and monitoring"
1104,Coordinate control related follow-up with assigned department
1105,Order supplies and process invoices through Procure to Pay system
1106,Assist in ad-hoc reports and special projects
1107,Provide effective back-up coverage to other teams when the respective EA colleague is on leave
1108,"Train, coach, or guide other administrative staff when required"
1109,"Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients, and assets"
1110,"Drive compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct, and business practices, and escalating, managing and reporting control issues with transparency"
1111,Perform other job-related duties as assigned
1112,Manage company e-commerce platforms.
1113,Optimize website design to improve user experience on websites based on company online strategy
1114,"Handle uploading/updating of products on the website, edit photos / copywrite to ensure products displayed correctly with detailed product information and compelling descriptions together with related product contents"
1115,Create advertising materials for products
1116,Track site performance and product updates
1117,Implement online sales and marketing strategies to generate interest and create awareness.
1118,Generating online traffic and process website order to increase profitability.
1119,"Create and execute digital marketing campaigns, social media marketing campaigns, retargeting campaigns, and other campaigns, including newsletters for subscribers"
1120,Maximize SEO rankings
1121,Able to construct SEM campaign and measurement
1122,Set up weekly reporting trackers using Google Analytics and Netsuite
1123,"Create campaigns to promote the company’s products/services by blasting promotions via email, social media, WhatsApp, Wechat etc."
1124,Compile periodic market analysis and report
1125,Address all queries from webstore visitors/customers on a timely & courteous
1126,Possess a personal vehicle with active STNK
1127,Preferably male
1128,Maximum age of 32 years
1129,Minimum diploma (D3) in any field
1130,"Driving ability preferred, especially for cars"
1131,Enjoy field work and accustomed to targets and bonuses
1132,Fresh graduates are welcome to apply
1133,Maintaining and developing key investor client relationships
1134,Executing product distribution
1135,Navigating and transacting in various financial products
1136,Generating market insight and trade concepts
1137,"Collaborating with business partners in trading, research, and syndicate"
1138,Developing strategies and managing marketing campaigns to increase leads
1139,Enhancing brand awareness in digital media
1140,Creating digital strategies and campaigns for advertising
1141,Assisting Marketing Manager in campaign material tracking
1142,Tracking post-launch sales performances and working with Marketing Manager on sales analysis
1143,Provide professional financial advice and solutions to customers
1144,Learn to communicate with customers and provide after-sales services
1145,Protect customers from fraudulent practices
1146,"Build strong, long-term relationships with clients"
1147,"Work in a young, energetic & dynamic team"
1148,Fluent in Bahasa Malaysia
1149,Good problem-solving skills
1150,Critical observer-thinker with fresh perspective and intuitive solutions
1151,Business-minded with entrepreneurship skill
1152,Formulate a strategy & implement a creative & attention-grabbing marketing campaign to meet the annual sales target set by the company.
1153,Responsible for drafting promotion according to the current campaign.
1154,Responsible for promoting marketing campaigns using online & offline channels.
1155,Analyze the performance of each campaign carried out so as to be able to improve future campaigns better.
1156,Identify spaces & opportunities based on the current situation that can be used to raise the company's brand.
1157,Involved in designing a reward campaign for distributors in line with the current marketing campaign being carried out.
1158,Support the Marketing Manager with execution of digital marketing strategies
1159,Ensure all digital materials are consistent and aligned to brand guide
1160,"Lead, manage and optimize all digital campaigns across various platforms"
1161,"Track and report on campaign key metrics, perform timely optimization, and analyze performance"
1162,"Manage all digital touchpoints such as website, social media, content marketing, and CRM"
1163,Liaise with internal stakeholders and external agencies in the implementation of digital marketing campaign materials
1164,Brainstorm and contribute ideas during the planning of integrated marketing activities
1165,Work within the budget of assigned campaigns/projects
1166,Source for digital branding opportunities and explore suitable collaboration opportunities
1167,Stay current on Digital Marketing Channel best practices and collate market intelligence information
1168,"Initiate, coordinate and execute ad-hoc assignments"
1169,"Willingness to learn, go-getter attitude, ability to work in a fast-paced environment, independence, proactive, meticulous, and data-driven mindset"
1170,Grow the company brand and establish market expertise in Japan
1171,Network with top energy professionals
1172,Build and maintain a portfolio of revenue generating client accounts
1173,Track energy sector investment in financial markets
1174,Consult on early stage project development and M&A
1175,Travel internationally for face-to-face client meetings
1176,Prioritize tasks and work autonomously
1177,"Plan and execute digital marketing campaigns including SEO, email marketing, social media, and advertising"
1178,Produce and deliver engaging content for various channels
1179,Collaborate with internal teams on user experience optimization
1180,Conduct market research and analysis
1181,Spearhead client loyalty program
1182,Evaluate end-to-end customer experience
1183,Assist with event logistics and CRM management
1184,Maintain CRM system and maximize its usage
1185,Contact partners and leads via multiple channels
1186,Report on project results and recommendations
1187,"Support the local marketing team in all the marketing communications strategies for CMCR, and restaurant brands (Open Farm Community, Drunken Farmer, Bochinche, Noka by Tippling Club)"
1188,"Planning and supporting the team in the development, organisation, and execution of marketing initiatives, campaigns, and events"
1189,Manage daily admin duties to facilitate marketing processes and brand communications
1190,Collaborate with respective departments to enable the proper coordination
1191,Execution of social media copywriting and photography (where necessary)
1192,"Accountable for social media analytics reports and post mortems resulting in data-driven decision making, testing, and learning"
1193,Lead digital fundraising initiatives
1194,Produce corporate and publicity materials
1195,Manage organization's website
1196,"Conceptualize, execute and manage social media platforms including Facebook & LinkedIn"
1197,Assist in fundraising activities
1198,Plan and lead online fundraising strategy and campaign initiatives
1199,Establish organization presence on key online fundraising platforms
1200,Manage and maintain donor database for online donors reporting and analysis
1201,Assist in all fundraising projects and initiatives
1202,Drive and execute the social media strategy
1203,Assist in managing organization's internal and external communication channels
1204,"Draft press releases, articles, speeches, letters, and appeals in compliance with brand guidelines"
1205,Conceptualize and produce publicity and marketing materials
1206,"Manage media enquiries, requests, interviews, and craft responses aligned with organization's values"
1207,Perform any other duties related to the department as assigned
1208,Develop and oversee the implementation of effective corporate communication strategies to generate positive awareness and top of mind recall
1209,"Manage media queries and media publicity for announcements, events, research studies and new programmes/initiatives"
1210,"Develop corporate and marketing collaterals and marketing campaigns, and contribute to the corporate website and social media content for public and healthcare professionals"
1211,"Manage internal communications (messages, speeches, presentations, etc.) and assist in communication of strategies or messages from senior leadership, change communications, and crisis communications"
1212,"Perform incident and crisis communications in the management of issues, outbreaks and adverse publicity"
1213,Work closely with MOH and Public Healthcare Institutions to ensure a coherent and consistent communications approach to managing public health
1214,Support the website development and other communications efforts for CDA PO
1215,Any other duties as assigned by Management and Supervisor
1216,To provide marketing support to the team like posting etc.
1217,To achieve sales target set by the company
1218,"To follow up with clients, and provide consultation & recommendation"
1219,To guide clients in their rental journey
1220,Engage with the general public to educate and motivate them to support our partners on a long term basis
1221,Promote our partner’s causes with your team to achieve personal and team weekly sales targets
1222,Raise awareness for our partners on their causes around the world and their advocacy work in Malaysia
1223,Provide motivation and skills training to new colleagues once you have shifted to a senior in the team
1224,Ensure adherence to all relevant policies and procedures as per our Core Values & Code of Conduct
1225,"Hands-on management of campaigns across Paid Search (Google Ads), Paid Social (Facebook Ads), and Organic Social (Facebook & Instagram)"
1226,"Create attractive and effective marketing content for company profile, website, social media account, ecommerce platform, product brochure"
1227,"Plan, implement, and monitor company’s ecommerce marketing activity"
1228,Conduct data collection and interpretation from online platform for improvement and optimization
1229,"Manage and improve online content, considering SEO and Google Analytics"
1230,"Manage digital advertising campaigns (SEM, Display, Social, Programmatic)"
1231,Developing strategy and content for social media platforms.
1232,Developing and implementing strategies and partnerships for the company’s key initiatives and projects.
1233,Maintaining and growing the number of partnerships.
1234,Exploring new or possible opportunities with commercial partners.
1235,"Preparing creative and made-to-measure sales, marketing, and business proposals."
1236,Driving integrated campaigns to build an excellent partnership program for key partners.
1237,Developing events/activities for partners.
1238,Ensuring the success of programs through collaboration with internal and external partners.
1239,Maintaining current knowledge of industry practices and trends.
1240,Identifying areas for improvements and providing solutions.
1241,Plan and schedule social media content
1242,Manage websites and social media content
1243,Conduct market research and competitor analysis
1244,"Manage and improve online content, digital ads, SEO, and Google Analytics"
1245,Coordinate marketing campaigns and promotions
1246,Respond to customer inquiries and comments on Facebook
1247,Analyze and track the effectiveness of content and online campaigns
1248,Develop online marketing communications
1249,Work with cross-functional teams for successful implementation of marketing plans
1250,Integrate online activities with offline marketing communication plans
1251,Track and analyze campaign results and ad-hoc online events
1252,Provide updates on competitors' activities and propose new market trends and technologies
1253,Execute ad-hoc marketing tasks
1254,Assist in executing comprehensive marketing strategies to promote software solutions and drive lead generation
1255,"Conduct market research to identify trends, customer needs, and competitor activities to refine marketing strategies"
1256,Collaborate with cross-functional teams to create compelling marketing collateral
1257,Drive content creation and oversee the production of high-quality marketing materials
1258,Monitor and analyze the performance of marketing campaigns
1259,Collaborate with the sales team to align marketing initiatives with sales objectives
1260,"Coordinate the participation in industry events, trade shows, and conferences"
1261,Track marketing expenses and work within budget constraints
1262,"Stay up-to-date with the latest marketing trends, best practices, and technologies"
1263,Monitor & maintain business health of franchise markets
1264,Drive revenue in franchise markets via new business channels and territory acquisition
1265,Maintain keen knowledge of franchise markets’ consumer patterns & trends
1266,Maintain continual communication & positive working relationship with franchise markets
1267,Support & share strategic and operational advice to franchisees with new outlet openings and when required
1268,"Ensure franchisees are kept abreast of newest product developments and SOPs, and oversee the roll-out in franchise markets"
1269,Maintain franchisee resource of training aids & marketing materials
1270,"Develop, implement and execute training programs, policies and procedures for Franchise Partners, in accordance with the Division’s business objectives"
1271,"Monitor, coach and appraise the job results of trainers conducting all Training Programs"
1272,"Edit, compile, analyse and/or disseminate OER (Audit) results to all relevant stakeholders"
1273,Conduct business presentations to management
1274,Supporting new market launches by planning relevant training programs and store attachments prior to its grand opening
1275,Generate reports and sales projections and market analysis as required
1276,Work closely with Finance to ensure timely billings and collections from franchise markets
1277,Updating & maintenance of existing franchisee data and databases
1278,Other ad hoc duties as assigned
1279,Development and execution of all campaigns & communications
1280,Brand and creative strategy
1281,"Paid advertising, both digital and OOH"
1282,Website and eCommerce platform development and management
1283,Public relations
1284,"Customer communications (email, text, chat, social media) and platform management"
1285,Customer database development and management
1286,Customer service strategy and execution in coordination with Senior Executives
1287,Group Sales strategy and execution coordination with Senior Executive
1288,Content marketing and social media
1289,Analytics and reporting
1290,"Manage, build and nurture an internal team alongside key outside agency partners and contractors"
1291,Collaborate heavily with the Technology and Product / Game Development Team and HQ managers
1292,"Executing marketing jobs, project planning, managing stakeholders, and getting things done"
1293,Wearing many different hats
1294,Get things done in a scrappy way with limited resources in the first year
1295,Get ready to get your hands dirty and have some colorful fun
1296,Ensure consistency of marketing collaterals with company branding and strategy
1297,Plan and execute digital marketing activities across multiple social media platforms
1298,Manage and create content for various social media platforms
1299,Engage in community management across social media platforms
1300,Brainstorm and execute engagement strategies for merchant acquisition
1301,Execute email marketing campaigns
1302,Write SEO-driven blog content
1303,"Support planning, execution, and reporting of digital marketing campaigns"
1304,Assist in overall design needs of the company
1305,Manage other ad-hoc projects/duties assigned by management
1306,"Assist to develop, execute & monitor initiatives to increase conversions, revenue & profitability from Google Advertising."
1307,"Manage digital advertising campaigns (SEM, Display, Social, Programmatic)."
1308,"Work closely with internal creative team, content writer, web development team to ensure google ads campaigns are improving visibility and driving conversion goals."
1309,"Generate weekly, monthly Ad performance reporting and any analysis report on the campaigns."
1310,Conduct research on
1311,Any other ad hoc assignments assigned by superior from time to time.
1312,Follow up / generate on aircon service leads closely
1313,"Schedule appointments and arrange for rescheduling, if necessary"
1314,Attend to customer enquiries
1315,Calling of existing customers whenever necessary
1316,Maintain accurate and up-to-date records of all calls and appointments
1317,"Responsible for day-to-day operations and business management for offline/online education product/course including follow-up of marketing promotion, event operations and any other needs."
1318,Manage overall coordination and evaluation of the operation strategy effect and continuous optimization work.
1319,Plan targeted operation strategies according to the characteristics of Indonesia local market and crowd.
1320,"Follow up the hot spots and user needs of the target user groups of the educational game and plan online strategies and activities, etc. Responsible for implementation and follow-up of results."
1321,To optimization research of the activity plan (including the use of traffic and activity conversion rate).
1322,Analyzing and understand the trend of the overall user activity data for active user retention and attract new users.
1323,"Monitoring, analyzing and summarizing the activities of similar platform and optimizing self-projects."
1324,Track and pay close attention to competing products and output product reports regularly.
1325,"Handle new media external cooperation, cross-border cooperation, etc."
1326,"Responsible for various businesses of the company's own platform including production, release, and dissemination of copywriting for products and their activities, and short films."
1327,"Collect, arrange, edit and archiving management of various pictures, videos and other materials required for media work on internal platforms."
1328,Ad-hoc duties as and when required.
1329,Assisting in coordinating with casual leasing tenants and advertising space
1330,Sourcing and collaborating with event organizers
1331,Coordinating between external parties and operations for events
1332,Working with tenants on their promotion activities
1333,Conducting post-event evaluations and reporting outcomes
1334,Proposing suitable advertising medium for the mall
1335,Consolidating content for A&P collaterals
1336,Preparing publicity/ promotion plans for events and activities
1337,Maintaining business relationships for joint promotional opportunities
1338,Assisting in media liaison/public relations duties
1339,Conducting market research and analysis
1340,Any other duties as assigned by the Management
1341,Develop and execute marketing plans and strategies to promote the company's products and services.
1342,Establish partnership with influencers and publishers to promote the company’s products and services.
1343,Manage social media accounts - Instagram and TikTok.
1344,Conduct market research and analyze data to identify and define target audiences.
1345,Develop and create marketing materials for print and online channels.
1346,Track and report on marketing performance.
1347,Identify sales and marketing opportunities.
1348,Stay up-to-date on marketing trends and best practices.
1349,Come out with social media campaigns and manage social media accounts
1350,Managing the company's social media channels and website
1351,"Monitor, measure and report performance on all digital marketing campaigns"
1352,Stay up to date with the latest social media best practices and new digital technologies
1353,Monitors online conversations and consumer comments to identify trends and business opportunities
1354,Work closely and brainstorm the latest social media best practices and come up with campaigns
1355,"Content planning including topic selection, planning, script, execution"
1356,"Analyses social media presences, digital advertising spent, and consumer feedback"
1357,"In charge of the formulation of media buy plans, and communicate & liaise with agencies to implement monthly media buy plans"
1358,"Work closely with the marketing team to develop static and motion graphics, animations and videos for a wide variety of marketing collaterals, from campaigns to assets for social media and websites"
1359,"Able to conceptualise, develop and execute interesting ideas for marketing projects"
1360,Support Senior Graphic Designer in the design adaptations of any marketing materials online and offline for multiple brands
1361,Assist in photo shoots and product styling
1362,"Update and manage all digital platforms such as company website, social media accounts to ensure contents are relevant and up to date"
1363,Develop content and visuals for required social media platforms and EDMs
1364,Source and design company branded merchandises
1365,Support Marketing Team with ad-hoc projects and events
1366,Other ad-hoc duties as assigned
1367,Study company products
1368,Translate technical details into benefits for the user
1369,Follow and analyze market trends to position products
1370,"Develop product marketing strategies (pricing, advertising, product launching)"
1371,Craft compelling messages across marketing channels (landing pages ad campaigns)
1372,"Work with various teams (design, content, acquisition, product, sales) to implement strategies"
1373,"Test marketing product features, releases and ad copy"
1374,Evaluate project using relevant KPI's and feedback from existing and prospective customers
1375,"Creating sharp, memorable, and effective content for TikTok"
1376,Engaging with customers on TikTok
1377,"Collaborating with videographers, multimedia designers, and marketing department"
1378,Producing high-quality videos using a mobile phone
1379,Engaging with social media influencers or artists in collaborative campaigns
1380,Optimizing content for publication across various social media sites
1381,Scheduling copy for release at optimal times
1382,Monitoring users' engagement with and feedback on every post
1383,Analysing and reporting on the effects of publications
1384,Maintaining a secure database of all login credentials
1385,Staying abreast of changes to all pertinent social media applications
1386,Exploring the potential value of social media sites that are not yet in the company's repertoire
1387,Provide support in the implementation of programs and promotional efforts in points-of-sale
1388,Research and administer all the information required by managers to decide whether promotional programs are required
1389,Support in getting materials and resources for the promotional action
1390,Develop comprehensive B2B marketing strategies aligned with overall business objectives.
1391,"Plan, execute, and manage end-to-end marketing campaigns targeting B2B customers."
1392,Utilize market research and competitor analysis to identify new opportunities and refine existing strategies.
1393,"Drive lead generation efforts through various channels such as content marketing, email campaigns, webinars, events, and partnerships."
1394,Develop and optimize lead nurturing workflows to guide leads through the sales funnel.
1395,Collaborate closely with the sales team to ensure seamless handover of qualified leads and maximize conversion rates.
1396,"Create compelling and relevant B2B content, including whitepapers, case studies, blog posts, videos, and presentations."
1397,Ensure content resonates with the target audience and supports the buyer’s journey.
1398,"Manage the company’s B2B website, ensuring it is up-to-date, optimized for SEO, and user-friendly."
1399,"Oversee the company’s social media presence on B2B platforms, engaging with industry professionals and thought leaders."
1400,"Identify relevant industry events and tradeshows for participation and manage the end-to-end planning, logistics, and execution."
1401,Develop strategies to maximize the company’s visibility and engagement at events.
1402,Monitor and analyze the performance of B2B marketing campaigns and initiatives.
1403,"Provide regular reports on key metrics and insights, making data-driven recommendations for optimization."
1404,"Develop and manage the B2B marketing budget, ensuring optimal allocation of resources across various activities."
1405,Monitor expenses and ROI to ensure budget efficiency.
1406,Design content marketing strategies and set short-term goals.
1407,"Online and offline marketing: hands-on experience with digital media, including SEM, display, social, email, and affiliate channels."
1408,"Assist the marketing manager in creating and putting into practice marketing strategies and plans to reach target audiences and meet business goals. This include researching competitors, analyzing market trends, and finding growth possibilities."
1409,"Plan, carry out, and track marketing initiatives across a variety of channels, including traditional media, social media, email marketing, digital advertising, and content marketing."
1410,"Through strong branding and messaging across all marketing materials and platforms, you can ensure brand consistency and increase brand awareness."
1411,"To better comprehend client demands, tastes, and behavior, conduct market research. Utilize information to improve product positioning and marketing efforts."
1412,"Create interesting and captivating material in collaboration with the sales, applications, and product teams that is in line with the brand's messaging and appeals to the target market."
1413,"Improve lead generation initiatives to attract new clients or customers, and conversion funnel optimization to maximize customer acquisition."
1414,Marketing of electric motorcycles at designated dealerships
1415,Maintaining good customer relations
1416,"Passionate in digital marketing to develop. implement, track and optimize marketing campaigns across all digital channels."
1417,Knowledgeable in social media marketing.
1418,"Develop creative content in writing or proofreading creative copy, photos and simple video editing."
1419,"Implementing public relation, media, KOL management, brand partnership, online activation and community startegy for all business unit"
1420,"Develop and manage communications around company initiatives, campaigns and brand plans"
1421,Ensure PR strategy alignement with company's goals. Work cross-functionally with internal stakeholder community division
1422,Manages product portfolio to ensure the product line-up mapping strategy
1423,Provides presentations to Retail Managers and Store Associates to educate and train Retail Sales Representatives in the sale and promotion of our product line
1424,"Communicate stock, deliveries, upload and launch dates, current trade information to inform reactive activity to the wide sales and marketing team"
1425,Responsible for Visual Merchandising Implementation
1426,Responses to counter request for counter maintenance
1427,"Provides guidelines, briefing to agency, and lead the deployment in stores for New Launch Counter decoration."
1428,"Closely monitors competitors’ product line-up, pricing as well as market trends."
1429,Leads Affiliate forecasting and product analytics to drive KPIs and support forecast accuracy.
1430,Prepares Notification and Advertising Registration for New Product launch in a timely manner.
1431,Supporting and monitoring online marketing campaigns
1432,Preparing or updating content for marketing materials
1433,Coordinating and administering digital marketing activities
1434,Compiling and analyzing research data
1435,"Providing fact-checking, copy-editing, and formatting assistance"
1436,Carrying out ad-hoc assignments
1437,Effectively multi-tasking in a deadline driven atmosphere
1438,Effectively using social media platforms
1439,Maintaining proficiency in English and Mandarin
1440,Maintaining positive learning attitude and collaborative work approach
1441,Possessing basic knowledge of Microsoft Office
1442,"Understanding SEO, google tools, and current trends via online platforms"
1443,Managing social media marketing
1444,"Possessing knowledge in in-bound-marketing, design, or production"
1445,Possessing own transport
1446,Fresh graduates with drive and keen interest in marketing may be considered
1447,Initiating communication with clients & recommending suitable products to suit their business needs
1448,Constantly developing new market for IT hardware sales worldwide
1449,Source for reliable IT hardware suppliers
1450,Engage and cultivate strong rapport with new and dormant partners and vendors
1451,Identify new business opportunities and develop new customer base
1452,Responsible & proactive in meeting sales quota every month & facilitate future sales
1453,"Preparing of Purchases Orders, Sales Orders, Proforma invoices, Proposals & Quotations"
1454,Prepare monthly sales forecast and sales report.
1455,"Introduce, Advertise and Selling products and services"
1456,"Source, Identify, build and manage customer relations"
1457,Provide Quality Customer Service
1458,Contributing to the development of marketing strategies
1459,Conducting market research on rival products
1460,Designing and implementing marketing plans for company products
1461,Coordinating with media representatives and sponsors
1462,Working with the sales team to develop targeted sales strategies
1463,Answering client queries about product specifications and uses
1464,Maintaining client relations
1465,Tracking sales data to ensure the company meets sales quotas
1466,Creating and presenting sales performance reports
1467,"Execute advertising/communication campaigns (social media, TV, etc.), exhibitions/fairs and promotional events"
1468,"Support in Public Relations activities (media releases, press events, etc.)"
1469,Design and implement a social media strategy that aligns with our brand identities to engage customers
1470,Create a social media marketing plan and strategy
1471,"Create a campaign, editorial plan, calendars and syndication schedules"
1472,Execute campaign and seasonal changes in-store with the alignment of the Visual Merchandising guidelines
1473,Maintain relationships with mall management teams to ensure collaboration in promotional activities
1474,Monitor progress of campaigns using various metrics and submit reports of performance
1475,Collaborate with managers in preparing budgets and monitoring expenses for projects and events
1476,Good copywriting skills
1477,"Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaigns"
1478,"Manage content, merchandise and KPIs for all digital platforms"
1479,Elevate SEO efforts to have top brand recall and online reputation
1480,"Plan, execute and measure experiments and conversion tests"
1481,Track budgets to ensure optimized usage for all projects
1482,"Handle the Company products in the authorized dealers' marketplace such as Lazada, Shopee and etc."
1483,"Manage e-Commerce customers and all potential leads through effective and timely replies of email, WhatsApp and etc."
1484,"Maintaining product listing, update of pricing, image, and stock and proposing promo mechanisms for all online platforms."
1485,Any other reasonable tasks requested by your manager
1486,Work closely with internal and external stakeholders to plan and execute marketing strategies and campaigns to further the company’s strategic objectives.
1487,Manage the company’s website and relevant online presence.
1488,"Take charge of community management for the company’s social media channels, representing the voice of the company with reference to corporate guidelines."
1489,"Coordinate and liaise with internal and external parties, such as agencies and customers, for various marketing projects."
1490,"Conceptualize and produce materials such as catalogs, brochures, social media posts, posters, and other relevant materials."
1491,"Create content such as articles for press releases, and newsletters to communicate with internal and external key stakeholders."
1492,Assist in the planning and execution of events and exhibitions that drive meaningful results.
1493,Ensure company marketing materials adhere to the global branding guidelines.
1494,"Conduct online and offline research to gather and consolidate information, analyze it, and share the findings."
1495,Other duties may be assigned by management depending on business requirements.
1496,"Based in Malaysia, covering Malaysia, Singapore, and Brunei markets."
1497,Contact potential and existing clients
1498,Describe advertising opportunities through various channels
1499,Arrange placement and design of advertisements
1500,Research client needs and explain benefits of advertising
1501,Discuss pricing costs and negotiate with potential clients
1502,Manage accounts of existing clients
1503,Coordinate with production and media teams for advertisement placement
1504,Develop ideas for client campaigns
1505,Participate in internal training and industry events
1506,Contribute as a team player
1507,"Assisting Associate Director with planning, implementing, and evaluating marketing campaigns and promotions for Nightlife, Entertainment, and Special Events"
1508,Conceiving and materializing events and campaigns from commencement to completion
1509,"Planning, developing, implementing, and evaluating marketing campaigns and promotions for Entertainment and Special Events ticket sales and awareness"
1510,Managing external stakeholders including third party vendors and external agencies
1511,Executing and tracking performance of partnership campaigns & tactical initiatives
1512,"Managing execution of events including on-site branding, programming, and vendor liaison"
1513,Coordinating effectively with internal stakeholders across various departments
1514,Preparing comprehensive briefs and managing creative development timeline for campaigns
1515,Managing Nightlife and Entertainment MBS-owned website updates
1516,Managing marketing budget/forecast for the events and ensuring expenditure drives business objectives
1517,Collect information and analyze current competitive products in the market.
1518,"Operate brand related social platforms and new media, update and review regularly."
1519,Responsible for the development of international market channels.
1520,Liaise with KOL for partnership and other marketing activities.
1521,Responsible for the foreign language writing of operating projects.
1522,Other ad hoc tasks.
1523,"Brainstorm ideas, plan and execute objective driven Social Campaigns and creative Content for Brands"
1524,Effectively educate and communicate with Brands to provide strategies and recommendations to help them drive business results
1525,Infer opportunities to scale digital marketing activities
1526,Managing the Marketing Strategy of 1103 Studios to meet Objectives
1527,Identify & Predict Trends affecting Relevant Industries
1528,"Senior team members will be involved in leading and oversee the marketing team, refine and optimise marketing processes and capabilities"
1529,"Plans and executes all web, SEO/SEM, database marketing, email, social media, and display advertising campaigns."
1530,"Designs, builds, and maintains our social media presence."
1531,Explore new channels such as Tik Tok/ Red Book and build live streaming revenue.
1532,Plans and participates in campaigns in all marketplaces to drive sales.
1533,Improve performance of revenue.
1534,Measures and reports performance of all digital marketing campaigns and assesses against goals (ROI and KPIs).
1535,Identifies trends and insights and optimizes spend and performance based on the insights.
1536,Brainstorms new and creative growth strategies through digital marketing.
1537,"Plans, executes, and measures experiments and conversion tests."
1538,Collaborates with internal teams to create landing pages and optimize user experience.
1539,Utilizes strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points.
1540,Identifies critical conversion points and drop off points and optimizes user funnels.
1541,Collaborates with other business & partners to drive digital awareness and conversion.
1542,Evaluates emerging technologies.
1543,Provides thought leadership and perspective for adoption where appropriate.
1544,Any other duties as assigned by the management.
1545,Maintaining and increasing sales volume
1546,Preparing new client prospects
1547,Maintaining good communication with customers
1548,Achieving company-set targets
1549,Creating sales activity reports
1550,Creating sales reports
1551,"Assist in formulating business plans, pricing strategy, and promotion activities"
1552,Support inventory management and analysis of monthly brand reports
1553,Manage brand promotion funds and conduct product launch presentations
1554,Liaise with media on ATL and support inventory purchasing
1555,Handle product issues and work closely with brand owners and sales team to achieve targets
1556,Prepare competitors’ reviews through regular market checks
1557,Supporting HR documentation and coordination between colleagues from Singapore and PERSOLKELLY associates
1558,Managing contractors’ information and ensuring regular updates in the system
1559,Providing end-to-end administrative support for contract and temporary workers
1560,Managing payroll information and benefits administration
1561,Maintaining a close connect with consultants placing candidates
1562,Liaising with payroll & billing team to resolve contractor issues and inform on payments
1563,"Communicating job expectations, planning, monitoring, and appraising job results"
1564,"Coaching, counseling, and disciplining associates"
1565,"Developing, coordinating, and enforcing systems, policies, procedures, and productivity standards"
1566,Conduct marketing research to identify selling possibilities and evaluate customer needs
1567,"Actively seek out new sales opportunities through cold calling, networking, and social media"
1568,Prepare and develop a marketing plan to deliver appropriate presentations on products and services
1569,"Oversee day-to-day sales, monitoring, and forecasting to better understand the market"
1570,Stay up-to-date on current market trends
1571,Collaborate with team members to creatively reach more potential customers
1572,Cultivate and deepen client relationships and partnerships that add value
1573,"Participate and assist in sales & marketing for membership, property & developer sales, events activities, Expo, seminars, training courses, sponsorship & magazine advertisement sales of the Companies"
1574,"To maintain and update product websites and social media platforms, with accuracy, consistency, and compliance with the required standard"
1575,Follow-up on the leads generated through referrals or promotional activities/events
1576,"Build, plan and implement the overall digital marketing strategy"
1577,Manage the strategy
1578,Manage and train the rest of the team
1579,Stay up to date with the latest technology and best practices
1580,Manage all digital marketing channels
1581,Measure ROI and KPIs
1582,Prepare and manage a digital marketing budget
1583,Oversee all the company's social media accounts
1584,"Manage and improve online content, considering SEO and Google Analytics"
1585,Build an inbound marketing plan
1586,Forecast sales performance trends
1587,Motivate the digital marketing team to achieve goals
1588,Monitor competition and provide suggestions for improvement
1589,"Generate innovative ideas for marketing campaigns, promotions, and branding initiatives."
1590,"Develop high-quality content across various channels, including website, social media, email campaigns, and blogs."
1591,"Conduct research to identify trends, opportunities, and competitor strategies."
1592,"Monitor and analyze campaign performance, using insights to optimize results."
1593,"Work with teams across design, sales, and product development for aligned marketing initiatives."
1594,Assist in managing the marketing budget for optimal resource allocation and ROI.
1595,Ensure consistent brand image across all marketing materials.
1596,Prepare regular reports on marketing activities with insights and recommendations.
1597,Design and implement effective email marketing strategies.
1598,Optimize content for search engines to increase visibility and traffic.
1599,Create visually appealing marketing materials as needed.
1600,Content creation and management for social media platforms
1601,"Social media management, both paid and organic"
1602,Monitoring and evaluation of KPIs using GA and other analytics tools
1603,Collation and analysis of competitors’ data and trend identification
1604,"Building, writing and managing a rich content/editorial calendar"
1605,Editing and producing marketing videos
1606,"Developing overall SEO strategies, keyword research, content auditing, and link building activities"
1607,Analyzing website traffic segments and monitoring performance metrics
1608,Carrying out other administrative duties
1609,Assist on Loyalty App Development to support the expansion of Loyalty Program
